DEPARTAMEN,PROVINCIA,DISTRITO,mean,min,percentile_10,percentile_90,max,std
TACNA,TARATA,TARATA,-4.561075755528042,-6.4680256843566895,-6.175215196609497,-3.3887185454368574,5.581132888793945,2.8290682855575846
PUNO,EL COLLAO,CAPAZO,-4.560060655748522,-6.613354206085205,-5.652369976043701,-3.2024462699890135,-2.62812876701355,0.9778251865931777
PUNO,EL COLLAO,SANTA ROSA,-4.197036049582741,-7.580888271331787,-6.378612852096557,-2.4849494218826296,-1.9784406423568726,1.4170752469614858
TACNA,TARATA,SUSAPAYA,-4.182687932794744,-7.479485034942627,-7.122831344604492,-0.2553364038467407,3.157607316970825,3.1197034875343777
AREQUIPA,CAYLLOMA,SAN ANTONIO DE CHUCA,-4.096958747276893,-5.785327911376953,-5.024672603607177,-3.261163687705994,-2.2680466175079346,0.7141995249758512
CUSCO,ESPINAR,CONDOROMA,-3.855524698893229,-4.881903171539307,-4.474339485168457,-3.0046163558959957,-1.3241804838180542,0.7908826629080331
TACNA,TARATA,TICACO,-3.7456318248401987,-5.706428527832031,-5.661109924316406,0.8817099928855896,2.5116803646087646,2.6410852775619915
PUNO,LAMPA,PARATIA,-3.724840897780198,-4.469860076904297,-4.32807183265686,-3.002614736557007,-2.4424943923950195,0.5299544544644834
TACNA,CANDARAVE,CANDARAVE,-3.715401027513587,-7.204840183258057,-6.199081897735596,1.854044795036316,7.0170135498046875,3.5510469714573403
MOQUEGUA,MARISCAL NIETO,CARUMAS,-3.053062728688687,-6.169868469238281,-5.585242748260498,3.935331058502201,11.80758285522461,4.463386189438991
AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,-3.0424901962280275,-5.032914638519287,-4.4175983428955075,-1.8814838886260985,-0.7931904792785645,0.9412931445733747
PUNO,SAN ANTONIO DE PUTINA,ANANEA,-2.9974329471588135,-4.656363487243652,-3.849817419052124,-2.14738609790802,-1.7488354444503784,0.7156663153072652
PUNO,CARABAYA,AJOYANI,-2.9313172560471754,-3.65464186668396,-3.4891555309295654,-1.9290480136871333,-1.6546239852905273,0.6047969467360723
PUNO,CHUCUITO,PISACOMA,-2.905298868815104,-4.9088897705078125,-4.2640026092529295,-1.077053189277649,-0.3273567259311676,1.3531050943017005
AREQUIPA,CAYLLOMA,TUTI,-2.8557139805385043,-3.732879638671875,-3.4051870822906496,-2.3707679271697994,-2.0593292713165283,0.47863458428755834
