DEPARTAMEN,PROVINCIA,DISTRITO,mean,min,max,std,amplitud_p90_p10,CLASE_P10_P90
HUANUCO,PUERTO INCA,CODO DEL POZUZO,18.75414924978096,9.002318382263184,22.48259925842285,3.358801002256883,8.404142951965333,INTERMEDIO (p10–p90)
HUANUCO,PUERTO INCA,TOURNAVISTA,22.09937808388158,19.724145889282227,22.62591552734375,0.43419215760454966,0.6499057769775405,CÁLIDO (≥ p90)
UCAYALI,PADRE ABAD,ALEXANDER VON HUMBOLDT,21.84063975016276,21.68017578125,21.93840217590332,0.08897541389304597,0.1983184814453125,CÁLIDO (≥ p90)
UCAYALI,PADRE ABAD,IRAZOLA,22.071029170866936,21.44189453125,22.329484939575195,0.162780269443765,0.3832233428955085,CÁLIDO (≥ p90)
UCAYALI,PADRE ABAD,NESHUYA,21.878134987571023,21.649612426757812,22.13722038269043,0.14772402746173577,0.39243106842041087,CÁLIDO (≥ p90)
UCAYALI,PADRE ABAD,PADRE ABAD,20.040689047280843,15.034388542175293,22.283552169799805,2.0273364063367265,5.19315948486328,CÁLIDO (≥ p90)
UCAYALI,PADRE ABAD,CURIMANA,21.958740234375,21.703346252441406,22.127164840698242,0.11778008733806095,0.33067817687988565,CÁLIDO (≥ p90)
HUANUCO,PUERTO INCA,PUERTO INCA,21.741915189302883,16.195993423461914,22.502769470214844,1.265562189484944,1.9284612655639677,CÁLIDO (≥ p90)
UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,21.980321911798008,21.563478469848633,22.275909423828125,0.13785296790632223,0.29267196655273153,CÁLIDO (≥ p90)
UCAYALI,CORONEL PORTILLO,CAMPOVERDE,21.840927496189025,21.48261260986328,22.0787296295166,0.1387765429857458,0.35880279541015625,CÁLIDO (≥ p90)
LORETO,UCAYALI,CONTAMANA,21.147937178938356,14.644641876220703,22.238435745239258,1.611120094752307,3.630571746826174,CÁLIDO (≥ p90)
LA LIBERTAD,TRUJILLO,HUANCHACO,17.294453938802082,16.189176559448242,17.874160766601562,0.427977274359243,0.5326755523681648,INTERMEDIO (p10–p90)
LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,17.915937423706055,17.794103622436523,18.041330337524414,0.10759962028275682,0.22628231048583913,INTERMEDIO (p10–p90)
LA LIBERTAD,TRUJILLO,SIMBAL,16.008544921875,14.607608795166016,17.153661727905273,0.8314402086252322,2.1605215072631836,INTERMEDIO (p10–p90)
LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,17.684229532877605,17.481515884399414,17.855262756347656,0.1281008721698599,0.2962045669555664,INTERMEDIO (p10–p90)
LA LIBERTAD,ASCOPE,CHOCOPE,17.64051055908203,17.56462287902832,17.75169563293457,0.08034681490323659,0.149658203125,INTERMEDIO (p10–p90)
LA LIBERTAD,ASCOPE,PAIJAN,17.67673110961914,17.67215347290039,17.681310653686523,0.004578590492386788,0.007325744628907671,INTERMEDIO (p10–p90)
LA LIBERTAD,OTUZCO,SINSICAP,13.198477608816964,6.138871669769287,17.802120208740234,3.840156184154551,10.059809160232545,INTERMEDIO (p10–p90)
LA LIBERTAD,ASCOPE,CHICAMA,17.622690200805664,16.131982803344727,18.0924072265625,0.38829841096785384,0.8403799057006829,INTERMEDIO (p10–p90)
LA LIBERTAD,ASCOPE,RAZURI,17.476884321732953,17.213382720947266,17.687904357910156,0.13498957040889836,0.3179931640625,INTERMEDIO (p10–p90)
LA LIBERTAD,GRAN CHIMU,MARMOT,14.454702758789063,7.964378356933594,18.05227279663086,3.2961768098554813,7.2842083930969235,INTERMEDIO (p10–p90)
LA LIBERTAD,ASCOPE,ASCOPE,17.626995086669922,17.10719108581543,17.879390716552734,0.24565649600849962,0.5195583343505881,INTERMEDIO (p10–p90)
LA LIBERTAD,GRAN CHIMU,CASCAS,14.204886436462402,7.705737590789795,18.15631103515625,3.3498719203201284,8.137178897857666,INTERMEDIO (p10–p90)
LA LIBERTAD,ASCOPE,CASA GRANDE,17.438556671142578,16.592920303344727,17.896656036376953,0.3263455370962776,0.7939491271972656,INTERMEDIO (p10–p90)
CAJAMARCA,CONTUMAZA,SAN BENITO,15.815583229064941,12.023734092712402,18.209381103515625,2.0805818601743042,5.000402927398682,INTERMEDIO (p10–p90)
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,17.60347929454985,17.266843795776367,18.04304313659668,0.19011347932035008,0.5106735229492188,INTERMEDIO (p10–p90)
CAJAMARCA,CONTUMAZA,CUPISNIQUE,14.981792873806423,12.75385570526123,17.409940719604492,1.2975626277701404,2.8101736068725582,INTERMEDIO (p10–p90)
TACNA,TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,14.378465270996093,13.490352630615234,15.198752403259277,0.5642242019726849,1.209508323669434,INTERMEDIO (p10–p90)
TACNA,TACNA,POCOLLAY,12.092069837782118,10.593563079833984,13.526211738586426,0.7386672482069309,1.3848535537719737,INTERMEDIO (p10–p90)
TACNA,TACNA,CALANA,11.605494499206543,11.184829711914062,12.2064208984375,0.37356674599015016,0.7415737152099613,INTERMEDIO (p10–p90)
TACNA,TACNA,TACNA,12.179664611816406,1.413731575012207,15.91511058807373,3.3158092595057833,8.333154726028441,INTERMEDIO (p10–p90)
TACNA,TACNA,SAMA,14.61370849609375,13.26604175567627,15.88257884979248,0.6123168523638924,1.552096366882326,INTERMEDIO (p10–p90)
TACNA,TACNA,CIUDAD NUEVA,11.642155238560267,10.605330467224121,12.529399871826172,0.6407542315502879,1.531747055053712,INTERMEDIO (p10–p90)
TACNA,JORGE BASADRE,ITE,14.99975796403556,13.032958984375,16.95003890991211,0.9873929598781941,2.4387624740600593,INTERMEDIO (p10–p90)
MOQUEGUA,ILO,ILO,15.600733947753906,13.967215538024902,17.345266342163086,1.1759833496516425,3.05320053100586,INTERMEDIO (p10–p90)
TACNA,TACNA,ALTO DE LA ALIANZA,11.51392313639323,4.133762836456299,13.049138069152832,2.3668737913522775,3.9190706253051744,INTERMEDIO (p10–p90)
TACNA,TACNA,PACHIA,8.728538914730674,-0.12002301961183548,12.786258697509766,4.023166105606655,9.386221885681152,INTERMEDIO (p10–p90)
TACNA,TARATA,ESTIQUE-PAMPA,5.952136993408203,4.6459736824035645,7.505868434906006,1.1649120331457576,2.481418180465699,INTERMEDIO (p10–p90)
